Regulators	Regulation	Target Gene
DOF5.3	repressor	WBC19
AGL42	repressor	WBC19
SPL7	repressor	WBC19
ATHB-15	repressor	WBC19
AHL20	repressor	WBC19
SPL4	activator	WBC19
DOF5.3	activator	AGL42
BEE2	repressor	AGL42
SPL7	activator	AGL42
ATHB-15	activator	AGL42
SPL4	repressor	AGL42
ARR10	activator	AGL42
BEE2	repressor	DOF5.3
ATHB-15	activator	DOF5.3
AGL42	activator	DOF5.3
AHL20	activator	DOF5.3
SPL4	repressor	DOF5.3
MYB46	activator	DOF5.3
TGA1	activator	SPL7
BEE2	repressor	SPL7
DOF5.3	activator	SPL7
AT3G57600	repressor	SPL7
AGL42	activator	SPL7
ATHB-15	activator	SPL7
DOF5.3	activator	ATHB-15
AGL42	activator	ATHB-15
MYB59	activator	ATHB-15
SPL4	repressor	ATHB-15
MYB46	activator	ATHB-15
SPL9	repressor	ATHB-15
TGA1	activator	AHL20
ATHB-15	activator	AHL20
DOF5.3	activator	AHL20
ATHB20	repressor	AHL20
SPL9	activator	AHL20
ATHB-16	repressor	AHL20
TGA1	repressor	SPL4
AGL42	repressor	SPL4
BEE2	activator	SPL4
AHL20	repressor	SPL4
DOF5.3	repressor	SPL4
ATHB20	repressor	SPL4
