Regulators	Regulation	Target Gene
GATA8	repressor	WBC19
DOF2.4	activator	WBC19
AT5G65590	repressor	WBC19
AHL20	repressor	WBC19
SPL7	repressor	WBC19
ATHB13	activator	WBC19
MYB73	activator	GATA8
SPT	activator	GATA8
AGL42	repressor	GATA8
DOF5.6	repressor	GATA8
KAN	activator	GATA8
AHL20	activator	GATA8
ATHB-6	repressor	DOF2.4
SEP3	activator	DOF2.4
CDF3	repressor	DOF2.4
AGL42	activator	DOF2.4
ATNAC2	repressor	DOF2.4
WRKY43	repressor	DOF2.4
ARR14	activator	AT5G65590
AT5G02460	activator	AT5G65590
OBP1	activator	AT5G65590
AT4G16750	activator	AT5G65590
SPL9	activator	AT5G65590
AHL20	activator	AT5G65590
ATHB13	activator	AHL20
ATHB-1	activator	AHL20
ATHB-16	activator	AHL20
SPL9	repressor	AHL20
WRKY2	repressor	AHL20
ATHB-6	repressor	AHL20
ABF3	activator	SPL7
CCA1	activator	SPL7
AT5G65590	repressor	SPL7
DAG2	activator	SPL7
ATHB-51	activator	SPL7
ATHB20	repressor	SPL7
AHL20	activator	ATHB13
ARR10	repressor	ATHB13
ATHB-1	activator	ATHB13
DOF5.3	repressor	ATHB13
ATHB-6	repressor	ATHB13
MYB59	activator	ATHB13
